"Metering point","OBIS code","Unit","Started at","Value (1-65:1.29.9)","Interval length (min)","Estimated/measured/edited","Version"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T00:00:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T00:15:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T00:30:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T00:45:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T01:00:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T01:15:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T01:30:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T01:45:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T02:00:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T02:15:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T02:30:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T02:45:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T03:00:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T03:15:00+01:00","0.000","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T03:30:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T03:45:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T04:00:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T04:15:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T04:30:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T04:45:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T05:00:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T05:15:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T05:30:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T05:45:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T06:00:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T06:15:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T06:30:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T06:45:00+01:00","0.000","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T07:00:00+01:00","0.800","15","Measured","24"
